"filename", "language", "HTML", "Markdown", "CSS", "comment", "blank", "total"
"/Users/martinbenfeghoul/Documents/GitHub/FiO2Calculator.github.io/README.md", "Markdown", 0, 1, 0, 0, 1, 2
"/Users/martinbenfeghoul/Documents/GitHub/FiO2Calculator.github.io/aboutUs.html", "HTML", 76, 0, 0, 0, 5, 81
"/Users/martinbenfeghoul/Documents/GitHub/FiO2Calculator.github.io/bb.html", "HTML", 169, 0, 0, 0, 25, 194
"/Users/martinbenfeghoul/Documents/GitHub/FiO2Calculator.github.io/bbHIW.html", "HTML", 64, 0, 0, 0, 6, 70
"/Users/martinbenfeghoul/Documents/GitHub/FiO2Calculator.github.io/finer.html", "HTML", 188, 0, 0, 0, 31, 219
"/Users/martinbenfeghoul/Documents/GitHub/FiO2Calculator.github.io/finerHIW.html", "HTML", 65, 0, 0, 0, 6, 71
"/Users/martinbenfeghoul/Documents/GitHub/FiO2Calculator.github.io/hybrid.html", "HTML", 290, 0, 0, 0, 56, 346
"/Users/martinbenfeghoul/Documents/GitHub/FiO2Calculator.github.io/hybridHIW.html", "HTML", 65, 0, 0, 0, 6, 71
"/Users/martinbenfeghoul/Documents/GitHub/FiO2Calculator.github.io/index.html", "HTML", 77, 0, 0, 0, 6, 83
"/Users/martinbenfeghoul/Documents/GitHub/FiO2Calculator.github.io/style.css", "CSS", 0, 0, 95, 5, 21, 121
"Total", "-", 994, 1, 95, 5, 163, 1258